"Department","Urban/Rural","Sex","Age","Indiginous","Civil_Status","Residence_2016","Department_2016","Country_2016","Reason","Info_status","Employment_type","Income","Education","Occupation","Pay_frequency","Monthly_Income"
"La Paz","Urban","Female",15,"Belongs","Single","Elsewhere in the country","La Paz",NA,"Education","Student",NA,NA,"Incomplete Secondary",NA,NA,NA
"La Paz","Urban","Female",42,"Belongs","Separated","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",200,"Complete Primary","Service Workers/Merchants","Daily",6000
"La Paz","Urban","Male",19,"Belongs","Single","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unpaid Laborer",NA,"Higher Education","Service Workers/Merchants",NA,NA
"La Paz","Urban","Female",5,"Belongs",NA,"Elsewhere in the country","La Paz",NA,"Family Reason",NA,NA,NA,"None",NA,NA,NA
"La Paz","Urban","Male",40,"Does not belong","Commonlaw Marriage","Abroad","","Chile","Family Reason",NA,"Non-salaried employer/partner",135000,"Complete Secondary","Public Administration and Business Managers","Monthly",135000
"La Paz","Urban","Female",25,"Does not belong","Commonlaw Marriage","Abroad","","Chile","Family Reason","Stay-at-Home",NA,NA,"Complete Secondary",NA,NA,NA
"La Paz","Urban","Female",32,"Belongs","Married","Abroad","","Chile","Family Reason","Stay-at-Home",NA,NA,"Complete Secondary",NA,NA,NA
"La Paz","Urban","Male",40,"Belongs","Commonlaw Marriage","Elsewhere in the country","Oruro",NA,"Job Search",NA,"Unskilled Laborer",NA,"Complete Primary","Unskilled Workers",NA,NA
"La Paz","Urban","Female",59,"Belongs","Commonlaw Marriage","Elsewhere in the country","Oruro",NA,"Work Transfer","Stay-at-Home",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Urban","Male",34,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Job Search",NA,"Self-Employed",NA,"Complete Primary","Installation/Machinery Operators",NA,NA
"La Paz","Urban","Female",33,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Job Search",NA,"Unskilled Laborer",NA,"Complete Primary","Unskilled Workers",NA,NA
"La Paz","Urban","Female",12,"Does not belong","Single","Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Urban","Male",58,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Job Search",NA,"Salaried Employer/Partner",NA,"Incomplete Primary","Public Administration and Business Managers",NA,NA
"La Paz","Urban","Female",58,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Family Reason","Stay-at-Home",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Urban","Male",27,"Does not belong","Single","Elsewhere in the country","La Paz",NA,"Job Search",NA,"Non-salaried employer/partner",3600,"Higher Education","Construction/Manufacturing Industry Workers","Weekly",14400
"La Paz","Urban","Male",13,"Does not belong","Single","Elsewhere in the country","La Paz",NA,"Job Search","Student",NA,NA,"Incomplete Secondary",NA,NA,NA
"La Paz","Urban","Female",23,"Does not belong","Married","Elsewhere in the country","La Paz",NA,"Job Search",NA,"Unskilled Laborer",NA,"Higher Education","Office Employees",NA,NA
"La Paz","Urban","Male",46,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Santa Cruz",NA,"Job Search",NA,"Non-salaried employer/partner",16200,"Complete Secondary","Service Workers/Merchants","Monthly",16200
"La Paz","Urban","Female",25,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"La Paz","Urban","Male",44,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Other Reason (Specify)",NA,"Self-Employed",2150,"Incomplete Secondary","Service Workers/Merchants","Weekly",8600
"La Paz","Urban","Female",25,"Belongs","Commonlaw Marriage","Elsewhere in the country","Santa Cruz",NA,"Family Reason",NA,"Stay-at-Home",NA,"Complete Secondary","Unskilled Workers",NA,NA
"La Paz","Urban","Female",19,"Belongs","Single","Elsewhere in the country","La Paz",NA,"Education",NA,"Unskilled Laborer",NA,"Complete Secondary","Unskilled Workers",NA,NA
"La Paz","Urban","Male",23,"Belongs","Single","Elsewhere in the country","La Paz",NA,"Education","Student",NA,NA,"Complete Secondary",NA,NA,NA
"La Paz","Urban","Female",7,"Does not belong",NA,"Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"None",NA,NA,NA
"La Paz","Urban","Female",76,"Does not belong","Widowed","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",820,"Higher Education","Service Workers/Merchants","Daily",24600
"La Paz","Urban","Female",31,"Belongs","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Education",NA,"Unpaid Laborer",NA,"Complete Secondary","Service Workers/Merchants",NA,NA
"La Paz","Urban","Female",6,"Belongs",NA,"Elsewhere in the country","La Paz",NA,"Education",NA,NA,NA,"None",NA,NA,NA
"La Paz","Urban","Male",5,"Belongs",NA,"Elsewhere in the country","La Paz",NA,"Education",NA,NA,NA,"None",NA,NA,NA
"La Paz","Urban","Male",30,"Belongs","Commonlaw Marriage","Elsewhere in the country","Cochabamba",NA,"Job Search",NA,"Self-Employed",4000,"Complete Secondary","Construction/Manufacturing Industry Workers","Monthly",4000
"La Paz","Urban","Female",22,"Belongs","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason","Stay-at-Home",NA,NA,"Complete Secondary",NA,NA,NA
"La Paz","Urban","Female",40,"Does not belong","Single","Elsewhere in the country","Cochabamba",NA,"Job Search",NA,"Unskilled Laborer",NA,"Complete Secondary","Unskilled Workers",NA,NA
"La Paz","Urban","Female",67,"Belongs","Widowed","Elsewhere in the country","La Paz",NA,"Family Reason","Elderly",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Urban","Male",26,"Does not belong","Single","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Complete Secondary","Construction/Manufacturing Industry Workers",NA,NA
"La Paz","Urban","Male",30,"Belongs","Single","Elsewhere in the country","Tarija",NA,"Job Search",NA,NA,NA,"Incomplete Secondary",NA,NA,NA
"La Paz","Urban","Female",28,"Does not belong","Commonlaw Marriage","Abroad","","Brasil","Family Reason",NA,NA,NA,"Complete Secondary",NA,NA,NA
"La Paz","Urban","Male",30,"Does not belong","Commonlaw Marriage","Abroad","","Argentina","Family Reason",NA,"Self-Employed",1800,"Incomplete Secondary","Installation/Machinery Operators","Weekly",7200
"La Paz","Urban","Female",35,"Does not belong","Commonlaw Marriage","Abroad","","Argentina","Job Search","Stay-at-Home",NA,NA,"Complete Secondary",NA,NA,NA
"La Paz","Urban","Male",5,"Does not belong",NA,"Abroad","","Argentina","Family Reason",NA,NA,NA,"None",NA,NA,NA
"La Paz","Urban","Male",14,"Does not belong","Single","Elsewhere in the country","La Paz",NA,"Education",NA,"Unpaid Laborer",NA,"Incomplete Secondary","Service Workers/Merchants",NA,NA
"La Paz","Urban","Female",23,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",800,"Complete Secondary","Service Workers/Merchants","Weekly",3200
"La Paz","Urban","Female",23,"Belongs","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",1000,"Incomplete Secondary","Agriculture, Livestock, Fishing and Others","Bi-annually",166.666666666667
"La Paz","Urban","Male",39,"Belongs","Widowed","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",1400,"Complete Secondary","Installation/Machinery Operators","Weekly",5600
"La Paz","Urban","Male",20,"Does not belong","Single","Elsewhere in the country","La Paz",NA,"Education",NA,"Unskilled Laborer",NA,"Complete Secondary","Service Workers/Merchants",NA,NA
"La Paz","Urban","Female",35,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unpaid Apprentice/Trainee",NA,"Complete Secondary","Agriculture, Livestock, Fishing and Others",NA,NA
"La Paz","Urban","Male",17,"Does not belong","Single","Elsewhere in the country","La Paz",NA,"Education","Student",NA,NA,"Incomplete Secondary",NA,NA,NA
"La Paz","Urban","Male",10,"Does not belong",NA,"Elsewhere in the country","La Paz",NA,"Education","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Urban","Male",18,"Belongs","Single","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Complete Secondary","Unskilled Workers",NA,NA
"La Paz","Urban","Male",22,"Belongs","Single","Elsewhere in the country","La Paz",NA,"Education","Student",NA,NA,"Higher Education",NA,NA,NA
"La Paz","Urban","Female",25,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unpaid Laborer",NA,"Higher Education","Office Employees",NA,NA
"La Paz","Urban","Male",28,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",150,"Higher Education","Office Employees","Daily",4500
"La Paz","Urban","Male",8,"Belongs",NA,"Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Urban","Male",53,"Does not belong","Married","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",720,"Incomplete Primary","Installation/Machinery Operators","Weekly",2880
"La Paz","Urban","Male",40,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Service Workers/Merchants",NA,NA
"La Paz","Urban","Male",21,"Belongs","Single","Abroad","","Argentina","Family Reason","Student",NA,NA,"Complete Secondary",NA,NA,NA
"La Paz","Urban","Female",57,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",2400,"Incomplete Primary","Service Workers/Merchants","Monthly",2400
"La Paz","Urban","Male",31,"Belongs","Commonlaw Marriage","Elsewhere in the country","Cochabamba",NA,"Job Search",NA,"Self-Employed",2500,"Higher Education","Construction/Manufacturing Industry Workers","Monthly",2500
"La Paz","Urban","Female",27,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Cochabamba",NA,"Job Search","Other",NA,NA,"Higher Education",NA,NA,NA
"La Paz","Rural","Male",30,"Belongs","Single","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unpaid Laborer",NA,"Higher Education","Agriculture, Livestock, Fishing and Others",NA,NA
"La Paz","Rural","Male",27,"Belongs","Single","Abroad","","Brasil","Job Search",NA,"Unskilled Laborer",NA,"Higher Education","Office Employees",NA,NA
"La Paz","Rural","Male",25,"Belongs","Single","Elsewhere in the country","La Paz",NA,"Education",NA,"Unpaid Apprentice/Trainee",NA,"Higher Education","Mid-Level Technicians",NA,NA
"La Paz","Rural","Female",23,"Does not belong","Single","Elsewhere in the country","La Paz",NA,NA,NA,"Unskilled Laborer",NA,"Higher Education","Mid-Level Technicians",NA,NA
"La Paz","Rural","Male",20,"Does not belong","Single","Elsewhere in the country","La Paz",NA,NA,NA,"Self-Employed",200,"Complete Secondary","Construction/Manufacturing Industry Workers","Daily",6000
"La Paz","Rural","Male",40,"Does not belong","Married","Elsewhere in the country","Santa Cruz",NA,"Job Search",NA,"Unskilled Laborer",NA,"Complete Secondary","Construction/Manufacturing Industry Workers",NA,NA
"La Paz","Rural","Female",38,"Does not belong","Married","Elsewhere in the country","Santa Cruz",NA,"Family Reason","Stay-at-Home",NA,NA,"Incomplete Secondary",NA,NA,NA
"La Paz","Rural","Male",9,"Does not belong",NA,"Elsewhere in the country","Santa Cruz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Rural","Male",24,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Job Search",NA,"Self-Employed",3900,"Higher Education","Construction/Manufacturing Industry Workers","Monthly",3900
"La Paz","Rural","Female",64,"Belongs","Single","Elsewhere in the country","Beni",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Incomplete Primary","Service Workers/Merchants",NA,NA
"La Paz","Rural","Female",11,"Belongs",NA,"Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Rural","Female",27,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"La Paz","Rural","Male",27,"Belongs","Commonlaw Marriage","Abroad","","Brasil","Family Reason",NA,"Unskilled Laborer",NA,"Complete Secondary","Construction/Manufacturing Industry Workers",NA,NA
"La Paz","Rural","Female",17,"Belongs","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Stay-at-Home",NA,"Incomplete Secondary","Unskilled Workers",NA,NA
"La Paz","Rural","Male",44,"Belongs","Married","Elsewhere in the country","Cochabamba",NA,NA,NA,"Self-Employed",150,"Complete Primary","Installation/Machinery Operators","Daily",4500
"La Paz","Rural","Female",38,"Belongs","Married","Elsewhere in the country","Cochabamba",NA,NA,NA,"Self-Employed",300,"Incomplete Primary","Service Workers/Merchants","Daily",9000
"La Paz","Rural","Female",11,"Belongs",NA,"Elsewhere in the country","Cochabamba",NA,NA,"Student",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Rural","Male",9,"Belongs",NA,"Elsewhere in the country","Cochabamba",NA,NA,"Student",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Rural","Male",7,"Belongs",NA,"Elsewhere in the country","Cochabamba",NA,NA,"Student",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Rural","Male",34,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",155,"Complete Secondary","Installation/Machinery Operators","Daily",4650
"La Paz","Rural","Male",28,"Belongs","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,NA,NA,"Self-Employed",7000,"Incomplete Secondary","Agriculture, Livestock, Fishing and Others","Monthly",7000
"La Paz","Rural","Female",36,"Belongs","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unpaid Laborer",NA,"Complete Primary","Agriculture, Livestock, Fishing and Others",NA,NA
"La Paz","Rural","Female",7,"Belongs",NA,"Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Rural","Female",19,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Job Search",NA,"Unpaid Laborer",NA,"Incomplete Secondary","Agriculture, Livestock, Fishing and Others",NA,NA
"La Paz","Urban","Male",21,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Complete Secondary","Construction/Manufacturing Industry Workers",NA,NA
"La Paz","Urban","Male",42,"Does not belong","Married","Abroad","","Brasil","Family Reason",NA,"Self-Employed",130,"Complete Secondary","Installation/Machinery Operators","Daily",3900
"La Paz","Urban","Female",44,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Job Search",NA,"Self-Employed",200,"Complete Primary","Construction/Manufacturing Industry Workers","Daily",6000
"La Paz","Urban","Male",23,"Does not belong","Married","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",660,"Complete Secondary","Construction/Manufacturing Industry Workers","Weekly",2640
"La Paz","Urban","Female",18,"Does not belong","Married","Elsewhere in the country","La Paz",NA,"Family Reason","Stay-at-Home",NA,NA,"Complete Secondary",NA,NA,NA
"La Paz","Urban","Male",35,"Does not belong","Married","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"La Paz","Urban","Female",34,"Does not belong","Married","Elsewhere in the country","La Paz",NA,"Family Reason","Stay-at-Home",NA,NA,"Higher Education",NA,NA,NA
"La Paz","Urban","Male",28,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",287,"Complete Secondary","Installation/Machinery Operators","Daily",8610
"La Paz","Urban","Male",25,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Complete Secondary","Construction/Manufacturing Industry Workers",NA,NA
"La Paz","Urban","Female",29,"Belongs","Married","Abroad","","Argentina","Work Transfer","Stay-at-Home",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Urban","Male",27,"Belongs","Married","Abroad","","Argentina","Work Transfer",NA,"Self-Employed",3000,"Incomplete Secondary","Construction/Manufacturing Industry Workers","Monthly",3000
"La Paz","Urban","Female",7,"Does not belong",NA,"Abroad","","Argentina","Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Urban","Male",5,"Does not belong",NA,"Abroad","","Argentina","Family Reason",NA,NA,NA,"None",NA,NA,NA
"La Paz","Urban","Female",22,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason","Stay-at-Home",NA,NA,"Incomplete Secondary",NA,NA,NA
"La Paz","Urban","Female",40,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Santa Cruz",NA,"Health",NA,"Self-Employed",300,"Complete Secondary","Construction/Manufacturing Industry Workers","Monthly",300
"La Paz","Urban","Female",20,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason","Stay-at-Home",NA,NA,"Incomplete Secondary",NA,NA,NA
"La Paz","Urban","Male",22,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Complete Secondary","Construction/Manufacturing Industry Workers",NA,NA
"La Paz","Urban","Male",5,"Does not belong",NA,"Elsewhere in the country","La Paz",NA,"Family Reason",NA,NA,NA,"None",NA,NA,NA
"La Paz","Urban","Male",28,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Complete Secondary","Construction/Manufacturing Industry Workers",NA,NA
"La Paz","Urban","Female",30,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",900,"Incomplete Secondary","Service Workers/Merchants","Weekly",3600
"La Paz","Urban","Male",41,"Belongs","Commonlaw Marriage","Abroad","","Brasil","Family Reason",NA,"Self-Employed",300,"Incomplete Secondary","Installation/Machinery Operators","Daily",9000
"La Paz","Urban","Female",21,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",180,"Complete Secondary","Construction/Manufacturing Industry Workers","Weekly",720
"La Paz","Urban","Male",30,"Does not belong","Married","Elsewhere in the country","La Paz",NA,"Job Search",NA,"Unskilled Laborer",NA,"Complete Secondary","Installation/Machinery Operators",NA,NA
"La Paz","Urban","Female",30,"Does not belong","Married","Elsewhere in the country","La Paz",NA,"Family Reason","Stay-at-Home",NA,NA,"Complete Primary",NA,NA,NA
"La Paz","Urban","Female",10,"Does not belong",NA,"Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Urban","Female",8,"Does not belong",NA,"Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Urban","Female",40,"Does not belong","Single","Abroad","","Brasil","Family Reason","Stay-at-Home",NA,NA,"Complete Secondary",NA,NA,NA
"La Paz","Urban","Male",28,"Belongs","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Higher Education","Construction/Manufacturing Industry Workers",NA,NA
"La Paz","Urban","Female",27,"Belongs","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",3000,"Higher Education","Service Workers/Merchants","Weekly",12000
"La Paz","Urban","Male",33,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Job Search",NA,"Non-salaried employer/partner",NA,"Complete Secondary","Construction/Manufacturing Industry Workers",NA,NA
"La Paz","Urban","Female",30,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Job Search",NA,"Unskilled Laborer",NA,"Incomplete Secondary","Construction/Manufacturing Industry Workers",NA,NA
"La Paz","Urban","Female",13,"Does not belong","Single","Elsewhere in the country","La Paz",NA,"Education","Student",NA,NA,"Complete Primary",NA,NA,NA
"La Paz","Urban","Female",7,"Does not belong",NA,"Elsewhere in the country","La Paz",NA,"Education","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Urban","Male",30,"Belongs","Commonlaw Marriage","Abroad","","Perú","Job Search",NA,"Non-salaried employer/partner",18000,"Incomplete Secondary","Construction/Manufacturing Industry Workers","Monthly",18000
"La Paz","Urban","Female",27,"Belongs","Commonlaw Marriage","Abroad","","Perú","Job Search",NA,"Unpaid Laborer",NA,"Higher Education","Service Workers/Merchants",NA,NA
"La Paz","Urban","Male",38,"Does not belong","Commonlaw Marriage","Abroad","","Brasil","Family Reason",NA,"Self-Employed",900,"Incomplete Secondary","Construction/Manufacturing Industry Workers","Weekly",3600
"La Paz","Urban","Female",23,"Does not belong","Commonlaw Marriage","Abroad","","Brasil","Family Reason",NA,"Self-Employed",500,"Complete Primary","Construction/Manufacturing Industry Workers","Monthly",500
"La Paz","Urban","Male",45,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",250,"Complete Secondary","Installation/Machinery Operators","Daily",7500
"La Paz","Urban","Female",44,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason","Stay-at-Home",NA,NA,"Complete Primary",NA,NA,NA
"La Paz","Urban","Male",15,"Does not belong","Single","Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"Incomplete Secondary",NA,NA,NA
"La Paz","Urban","Male",35,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",900,"Complete Primary","Construction/Manufacturing Industry Workers","Weekly",3600
"La Paz","Urban","Female",36,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason","Stay-at-Home",NA,NA,"Complete Primary",NA,NA,NA
"La Paz","Urban","Female",13,"Does not belong","Single","Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"Complete Primary",NA,NA,NA
"La Paz","Urban","Male",5,"Does not belong",NA,"Elsewhere in the country","La Paz",NA,"Family Reason",NA,NA,NA,"None",NA,NA,NA
"La Paz","Urban","Male",11,"Does not belong",NA,"Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Urban","Male",38,"Does not belong","Commonlaw Marriage","Abroad","","Argentina","Family Reason",NA,"Self-Employed",600,"Complete Secondary","Construction/Manufacturing Industry Workers","Weekly",2400
"La Paz","Urban","Female",30,"Belongs","Commonlaw Marriage","Abroad","","Brasil",NA,NA,"Unskilled Laborer",NA,"Complete Secondary","Construction/Manufacturing Industry Workers",NA,NA
"La Paz","Urban","Male",63,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Family Reason","Elderly",NA,NA,"Complete Primary",NA,NA,NA
"La Paz","Urban","Male",30,"Belongs","Single","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Incomplete Secondary","Installation/Machinery Operators",NA,NA
"La Paz","Urban","Female",26,"Belongs","Single","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Higher Education","Mid-Level Technicians",NA,NA
"La Paz","Urban","Female",24,"Belongs","Single","Elsewhere in the country","La Paz",NA,"Family Reason",NA,NA,NA,"Complete Secondary",NA,NA,NA
"La Paz","Urban","Female",25,"Does not belong","Separated","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Incomplete Primary","Construction/Manufacturing Industry Workers",NA,NA
"La Paz","Urban","Female",8,"Does not belong",NA,"Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"La Paz","Urban","Female",5,"Does not belong",NA,"Elsewhere in the country","La Paz",NA,"Family Reason",NA,NA,NA,"None",NA,NA,NA
"La Paz","Urban","Male",17,"Does not belong","Single","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Incomplete Secondary","Construction/Manufacturing Industry Workers",NA,NA
"La Paz","Urban","Male",38,"Does not belong","Married","Elsewhere in the country","La Paz",NA,"Other Reason (Specify)",NA,"Unskilled Laborer",NA,"Complete Secondary","Construction/Manufacturing Industry Workers",NA,NA
"La Paz","Urban","Female",33,"Does not belong","Married","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Stay-at-Home",NA,"Incomplete Primary","Unskilled Workers",NA,NA
"La Paz","Urban","Female",14,"Does not belong","Single","Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"Incomplete Secondary",NA,NA,NA
"La Paz","Urban","Female",24,"Does not belong","Married","Elsewhere in the country","La Paz",NA,"Family Reason","Stay-at-Home",NA,NA,"Complete Secondary",NA,NA,NA
"La Paz","Urban","Female",30,"Belongs","Single","Elsewhere in the country","Oruro",NA,"Education",NA,NA,NA,"Higher Education",NA,NA,NA
"La Paz","Urban","Male",49,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unpaid Laborer",NA,"Higher Education","Service Workers/Merchants",NA,NA
"La Paz","Urban","Female",33,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Non-salaried employer/partner",6000,"Complete Secondary","Service Workers/Merchants","Monthly",6000
"La Paz","Urban","Female",13,"Belongs","Single","Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"Incomplete Secondary",NA,NA,NA
"La Paz","Urban","Female",40,"Does not belong","Divorced","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",300,"Higher Education","Service Workers/Merchants","Daily",9000
"La Paz","Urban","Female",21,"Does not belong","Single","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",400,"Higher Education","Service Workers/Merchants","Daily",12000
"La Paz","Urban","Female",20,"Does not belong","Single","Elsewhere in the country","La Paz",NA,"Family Reason","Stay-at-Home",NA,NA,"Incomplete Secondary",NA,NA,NA
"La Paz","Urban","Male",15,"Does not belong","Single","Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"Incomplete Secondary",NA,NA,NA
"La Paz","Urban","Male",26,"Does not belong","Married","Elsewhere in the country","La Paz",NA,"Job Search",NA,"Self-Employed",100,"Incomplete Secondary","Construction/Manufacturing Industry Workers","Daily",3000
"La Paz","Urban","Female",24,"Does not belong","Married","Elsewhere in the country","La Paz",NA,"Job Search","Stay-at-Home",NA,NA,"Complete Secondary",NA,NA,NA
"La Paz","Urban","Female",21,"Does not belong","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"Higher Education",NA,NA,NA
"La Paz","Urban","Female",26,"Does not belong","Single","Abroad","","Brasil","Family Reason",NA,"Self-Employed",320,"Complete Secondary","Service Workers/Merchants","Weekly",1280
"La Paz","Urban","Male",28,"Does not belong","Single","Elsewhere in the country","Santa Cruz",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Complete Secondary","Mid-Level Technicians",NA,NA
"La Paz","Urban","Female",33,"Belongs","Married","Elsewhere in the country","Cochabamba",NA,"Family Reason","Stay-at-Home",NA,NA,"Complete Secondary",NA,NA,NA
"La Paz","Urban","Female",41,"Belongs","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Self-Employed",7500,"Complete Secondary","Construction/Manufacturing Industry Workers","Bi-weekly",15000
"La Paz","Urban","Male",40,"Belongs","Commonlaw Marriage","Elsewhere in the country","La Paz",NA,"Family Reason",NA,"Unpaid Laborer",NA,"Incomplete Secondary","Construction/Manufacturing Industry Workers",NA,NA
